date2,QUOTA ALLOCATED, LOAD DRAWN (MW),LAOD SHEDDING (MW) (LOAD MANAGEMENT),TOTAL DEMAND (MW) 
7/18/2018,91950,87178,7560,98439
7/19/2018,92100,83442,8055,95097
7/20/2018,92100,79692,8459,91360
7/21/2018,92014,81013,7119,91342
7/22/2018,91850,77718,4348,85253
7/23/2018,91800,83250,5830,92393
7/24/2018,91830,84736,5959,94253
7/25/2018,86750,74330,2241,79323
7/26/2018,90880,78631,3433,84872
7/27/2018,90030,77423,5315,85646
7/28/2018,88250,78134,5026,86393
7/29/2018,85600,73685,4579,81186
7/30/2018,89890,83871,5664,92734
7/31/2018,92450,88469,6756,98822
8/1/2018,92950,87425,10276,101469
8/2/2018,93279,87265,14972,106218
8/3/2018,94200,90719,10301,104972
8/4/2018,94325,90072,9512,103469
8/5/2018,94850,85908,9882,99455
8/6/2018,94091,85940,9918,99565
8/7/2018,92760,82670,6100,92207
8/8/2018,91606,82654,6221,92080
8/9/2018,91881,85194,7328,96061
8/10/2018,90670,84573,10941,99096
8/11/2018,92451,87237,12348,103426
8/12/2018,90402,86561,6322,96419
8/13/2018,91846,87743,6655,97971
8/14/2018,90354,82214,3425,88834
8/15/2018,91860,85050,6309,94771
8/16/2018,92100,87229,9129,99955
8/17/2018,90834,86353,11580,101626
8/18/2018,90223,85124,9567,98370
8/19/2018,88827,83710,8846,96072
8/20/2018,89881,86013,3046,92536
8/21/2018,89750,78053,4965,86088
8/22/2018,88900,74152,1539,78584
8/23/2018,88735,75069,1268,79304
8/24/2018,88050,77840,1658,82627
8/25/2018,88594,79422,2741,85400
8/26/2018,88138,79812,2315,85388
8/27/2018,89958,86880,3946,94254
8/28/2018,87338,79419,14546,97575
8/29/2018,89718,85950,13529,103262
8/30/2018,90242,85297,14199,103289
8/31/2018,90061,85545,13833,103212
9/1/2018,89513,85832,12714,102386
9/2/2018,87423,84263,9030,96806
9/3/2018,86322,83586,10437,97564
9/4/2018,85461,83741,10543,97751
9/5/2018,88663,87572,10816,101918
9/6/2018,87412,85400,14684,103931
9/7/2018,87466,82657,12943,99095
9/8/2018,86330,83104,8797,95091
9/9/2018,81540,74030,8186,85139
9/10/2018,85827,80242,10267,93528
9/11/2018,87100,83595,10237,97227
9/12/2018,87900,82905,11572,97947
9/13/2018,87500,83265,10479,97142
9/14/2018,87962,82776,11097,97125
9/15/2018,86739,78457,8404,89971
9/16/2018,85650,78394,7828,89238
9/17/2018,86691,78608,8535,90130
9/18/2018,87550,79695,8204,91020
9/19/2018,87187,80058,8680,91963
9/20/2018,86282,74612,7011,84553
9/21/2018,86800,69144,6616,78165
9/22/2018,86071,70822,7629,80983
9/23/2018,80777,63456,7745,73492
9/24/2018,81850,67225,7565,76972
9/25/2018,78698,68108,4540,75034
9/26/2018,79059,69603,2925,75120
9/27/2018,81215,71768,3336,77866
9/28/2018,78798,68455,4601,75527
9/29/2018,73840,62473,2672,67422
9/30/2018,67913,60764,2926,66172
10/1/2018,71248,65525,4030,72023
10/2/2018,73172,68451,4125,75241
10/3/2018,73839,68463,4221,75435
10/4/2018,72769,64591,3652,70755
10/5/2018,71808,64019,2193,68634
10/6/2018,72045,63410,1952,67766
10/7/2018,71498,58552,2195,63115
10/8/2018,70999,61625,3761,67707
10/9/2018,69969,53979,6115,62102
10/10/2018,69138,59098,3548,64812
10/11/2018,68481,57716,3578,63528
10/12/2018,67103,58366,1843,62346
10/13/2018,65055,57401,1864,61385
10/14/2018,60763,52477,1741,56313
10/15/2018,62287,56122,2918,61059
10/16/2018,62554,56916,3066,62119
10/17/2018,62635,56322,2978,61437
10/18/2018,62906,56074,2748,60873
10/19/2018,61848,55993,1512,59534
10/20/2018,61968,53789,1500,57258
10/21/2018,60222,48312,1503,51700
10/22/2018,58795,51721,2731,56263
10/23/2018,59104,52731,2879,57550
10/24/2018,60123,52564,2484,56969
10/25/2018,54032,50342,5758,57976
10/26/2018,59803,53746,1681,57328
10/27/2018,59901,52374,1476,55753
10/28/2018,57856,80459,1436,83749
10/29/2018,58254,49617,2901,54269
10/30/2018,58259,51073,1448,54369
10/31/2018,57508,48653,2540,52996
11/1/2018,54987,43696,2053,45749
11/2/2018,48735,37845,1331,39176
11/3/2018,51698,44174,1327,45501
11/4/2018,51596,39296,1266,40562
11/5/2018,51954,42845,2381,45226
11/6/2018,52878,43867,2502,46369
11/7/2018,53093,44910,2264,47174
11/8/2018,52728,45546,2334,47880
11/9/2018,54378,47177,1406,48583
11/10/2018,54496,47054,1185,48239
11/11/2018,54496,47054,1185,48239
11/12/2018,54763,45784,2249,48033
11/13/2018,54700,46580,3005,49585
11/14/2018,54407,46476,2677,49153
11/15/2018,53626,46146,2457,48603
11/16/2018,51664,47588,1081,48669
11/17/2018,49936,47257,1480,48737
11/18/2018,46831,42695,1471,44166
11/19/2018,49785,46039,2236,48275
11/20/2018,50008,40442,437,40879
11/21/2018,49699,44801,2050,46851
11/22/2018,51098,47231,1191,48422
11/23/2018,51396,46318,1364,47682
11/24/2018,50427,41827,1411,43238
11/25/2018,50427,41827,1411,43238
11/26/2018,50777,45084,2264,47348
11/27/2018,50679,46095,2421,48516
11/28/2018,50818,45771,2703,48474
11/29/2018,50394,45848,2291,48139
11/30/2018,50920,46242,1322,47564
12/1/2018,47695,45340,1204,46544
12/2/2018,48183,40927,1116,42043
12/3/2018,48436,44054,2226,46280
12/4/2018,49482,45069,2431,47500
12/5/2018,49605,45330,2460,47790
12/6/2018,45427,43830,5180,49010
12/7/2018,49368,40736,1766,42502
12/8/2018,49016,43882,1549,45431
12/9/2018,47573,40133,1448,41581
12/10/2018,46942,41306,3361,44667
12/11/2018,48047,43856,2620,46476
12/12/2018,50123,46904,2532,49436
12/13/2018,50717,45576,2868,48444
12/14/2018,50371,46140,1323,47463
12/15/2018,49734,45219,1269,46488
12/16/2018,45668,39924,1317,41241
12/17/2018,48394,43698,2457,46155
12/18/2018,49280,45297,2300,47597
12/19/2018,49805,45512,2524,48036
